Date,Open,High,Low,Close,Adj Close,Volume
2022-11-01,234.050003,237.399994,166.190002,194.699997,194.699997,1885275300
2022-12-01,197.080002,198.919998,108.239998,123.180000,123.180000,2944247700
2023-01-01,118.470001,180.679993,101.809998,173.220001,173.220001,3897499400
2023-02-01,173.889999,217.649994,169.929993,205.710007,205.710007,3624845100
2023-03-01,206.210007,207.789993,163.910004,207.460007,207.460007,3311619900
2023-04-01,199.910004,202.690002,152.369995,164.309998,164.309998,2505176300
2023-05-01,163.169998,204.479996,158.830002,203.929993,203.929993,2681994800
2023-06-01,202.589996,276.989990,199.369995,261.769989,261.769989,3440477900
2023-07-01,276.489990,299.290009,254.119995,267.429993,267.429993,2392089000
2023-08-01,266.260010,266.470001,212.360001,258.079987,258.079987,2501580900
2023-09-01,257.260010,278.980011,234.580002,250.220001,250.220001,2439306100
2023-10-01,244.809998,268.940002,194.669998,197.360001,197.360001,2471962300
